variableMetadata	database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	reliability	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV	PCA_XLOAD-p1	PCA_XLOAD-p2	gender_ttest_Male.Female_dif	gender_ttest_Male.Female_fdr	gender_ttest_Male.Female_sig	gender_OPLSDA_XLOAD-h1	gender_OPLSDA_XLOAD-o1	gender_OPLSDA_VIP_pred	gender_OPLSDA_VIP_ortho	gender_OPLSDA_COEFF	gender_tier_S
2-Isopropylmalic acid	CHEBI:35128	C7H12O5	C(C(=O)O)[C@](C(=O)O)(O)C(C)C	InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1	2-Isopropylmalic acid	175.060135	NA	[(M-H)]-	1	5.52	5	3.33387207149605	0.559803694371929	0.167913969812502	3824750.62195023	205053.755186856	0.0536123202412342	0.319284454420913	0.0660539765653004	-0.0350613691362527	0.17740260953598	0.0539883152352672	0	0.0922019426553591	-0.120228567934209	0.948290464871695	0.801121538011641	0.0323249258016341	
2-Methylhippuric acid	CHEBI:68455	C10H11NO3	Cc1ccccc1C(=O)NCC(O)=O	InChI=1S/C10H11NO3/c1-7-4-2-3-5-8(7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)	2-Methylhippuric acid	192.066148	NA	[(M-H)]-	1	6.13	5	2.75966892994854	0.422914835390196	0.15324839541462	597219.794725267	21695.8157597272	0.0363280252117359	0.237053217512972	0.0739136430160451	-0.0609635379360719	-0.199747190261427	0.00295576888706595	1	-0.164854929882092	-0.0725413658965834	1.69552130456324	0.492410386128788	-0.0500715311882866	
3,3-Dimethylglutaric acid	CHEBI:68502	C7H12O4	CC(C)(CC(O)=O)CC(O)=O	InChI=1S/C7H12O4/c1-7(2,3-5(8)9)4-6(10)11/h3-4H2,1-2H3,(H,8,9)(H,10,11)	3,3-Dimethylglutaric acid	NA	NA		NA	NA	5	2.66883748995159	0.233449369438918	0.087472305945145	377720.236351895	57232.1771474943	0.151520018361355	1.73220560180928	0.115851584085292	0.0272948190547146	-0.025391831698601	0.571291736626994	0	-0.0356837205672399	-0.107742786083402	0.367004544487141	1.06194783398328	-0.0107731123536861	
3,4-Dihydroxybenzeneacetic acid	CHEBI:41941	C8H8O4	OC(=O)Cc1ccc(O)c(O)c1	InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)	3,4-Dihydroxybenzeneacetic acid	NA	NA		NA	NA	5	2.62175667639269	0.501641389641764	0.191337889651903	469426.694561528	44964.7358791703	0.095786491054093	0.500614338479197	0.0850244561265682	-5.45792831437612e-05	-0.160543128616176	0.0535860812056747	0	-0.105552032238103	-0.0615733583074064	1.08559519286229	0.765246230427225	-0.032434775702286	
3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid	CHEBI:36062|CHEBI:39912	C7H6O4|C7H6O4	C(=O)(C1=CC(=C(C=C1)O)O)O|OC(=O)c1cc(O)cc(O)c1	InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)|InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)	3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid	153.018293	NA	[(M-H)]-	1	4.83	4	2.64528154469542	0.410087206608057	0.15502592056048	402988.062960581	23352.6940635209	0.057948848141949	0.373801025870003	0.0578384849361955	-0.0960899904650993	-0.168622161438607	0.00809810722500437	1	-0.111520829159138	-0.0927000625082114	1.14698384741733	0.653783395681773	-0.0434525797328313	
3,7-Dimethyluric acid	CHEBI:68531	C7H8N4O3	Cn1c2[nH]c(=O)n(C)c2c(=O)[nH]c1=O	InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)11(2)7(14)9-5(3)12/h1-2H3,(H,8,13)(H,9,12,14)	3,7-Dimethyluric acid	195.051734	NA	[(M-H)]-	1	4.3	5	2.77775211587768	0.673562734031253	0.242484824394933	810067.851594928	50924.7445171101	0.0628647889394021	0.25925246702043	0.118206622159063	0.0101465182929682	0.106998439161835	0.406020340624731	0	0.0460978787549773	-0.142786153427453	0.474113425544138	1.14209755211805	0.0156600235741427	
3-Hydroxybenzyl alcohol	CHEBI:17069	C7H8O2	OCc1cccc(O)c1	InChI=1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2	3-Hydroxybenzyl alcohol	123.044472	NA	[(M-H)]-	1	5.26	5	2.56786863283443	0.555259276157311	0.216233521083363	442080.03940812	15935.5069850748	0.0360466557287005	0.166702440713638	0.0769194177728356	-0.000340148795246964	-0.14651396154574	0.139817916737406	0	-0.0796849212719122	-0.0575223934789388	0.819553784443109	0.749075561592479	-0.0262872507056792	
3-Hydroxyphenylacetic acid	CHEBI:17445	C8H8O3	OC(=O)Cc1cccc(O)c1	InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)	3-Hydroxyphenylacetic acid	151.03922	NA	[(M-H)]-	1	6.06	5	3.29521740544455	0.379300312332614	0.115106308829855	1935414.90390444	86111.3618689664	0.0444924556978704	0.386533597942379	0.046421602397232	-0.0329580197669659	-0.0785527082015305	0.234869990993218	0	-0.0665085701224441	-0.0628448946074463	0.684035943961734	0.474517369510583	-0.0212249205686107	
3-Indole carboxylic acid glucuronide	CHEBI:68486	C15H15NO8	O[C@H]1[C@@H](OC([C@@H](O)[C@@H]1O)C(O)=O)OC(=O)c1c[nH]c2ccccc12	InChI=1S/C15H15NO8/c17-9-10(18)12(13(20)21)23-15(11(9)19)24-14(22)7-5-16-8-4-2-1-3-6(7)8/h1-5,9-12,15-19H,(H,20,21)/t9-,10-,11+,12?,15-/m0/s1	3-Indole carboxylic acid glucuronide	336.072846	NA	[(M-H)]-	1	6.2	4	3.37370186139036	0.468615135235786	0.138902355480416	3003452.43810479	234147.944239478	0.0779595978510744	0.561254685577063	0.0182021381597243	0.0135097795374972	0.088967497714628	0.269865029579576	0	0.0508885126483665	-0.0425805912521668	0.5233847566133	0.402795023227209	0.0207854915176988	
3-Methyl-2-oxovaleric acid	CHEBI:35932	C6H10O3	CCC(C)C(=O)C(O)=O	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	3-Methyl-2-oxovaleric acid	129.054965	NA	[(M-H)]-	1	5.37	5	3.40937631828003	0.399586198190918	0.117202139302857	2652322.91930366	102132.726041957	0.0385068972177683	0.328551146308552	0.0956402100897883	0.115443916509063	0.104869360015533	0.0661148457482541	0	0.0546184123463472	-0.0573935886932425	0.561746511438185	1.14662516979285	0.0309911433203954	
3-Methylcrotonylglycine	CHEBI:68499	C7H11NO3	CC(C)=CC(=O)NCC(O)=O	InChI=1S/C7H11NO3/c1-5(2)3-6(9)8-4-7(10)11/h3H,4H2,1-2H3,(H,8,9)(H,10,11)	3-Methylcrotonylglycine	156.065767	NA	[(M-H)]-	1	5.2	5	3.5501623962481	0.351336007569713	0.0989633623354847	3105763.26991166	126415.574438399	0.0407035448139595	0.41129912983327	0.136941295778114	0.0340284393910238	-0.0936966645084216	0.0303932406059852	1	-0.126861838929271	-0.11443143233965	1.30476504884926	0.937915942824578	-0.0361177286457378	
4-Acetamidobutanoic acid isomer 2					4-Acetamidobutanoic acid isomer 2	NA	NA		NA	NA	4	3.97369577162233	0.282962627613242	0.0712089308985318	8267954.43640693	292705.558354764	0.035402415507501	0.497162575828406	0.181493882688098	0.0842763078580835	-0.00633165521026813	0.852127790467293	0	-0.0158270815684605	-0.154207407629224	0.162780415530054	1.76113320128824	-0.00324865276453051	
4-Acetamidobutanoic acid isomer 3					4-Acetamidobutanoic acid isomer 3	NA	NA		NA	NA	4	3.37636851113197	0.352488219015793	0.104398621730309	2189409.72459397	100611.128502781	0.0459535405240055	0.4401738237763	0.127322995341317	0.0140497515610621	-0.173747463865053	0.000255749950706702	1	-0.183003709109242	-0.0896613736979687	1.88218021645296	0.916545615747992	-0.0584236907934589	
4-Hydroxybenzoic acid	CHEBI:30763	C7H6O3	OC(=O)c1ccc(O)cc1	InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)	4-Hydroxybenzoic acid	137.023583	NA	[(M-H)]-	1	5.65	5	2.3435489492885	0.440747075653389	0.188068218411738	196427.192059626	15132.1522990646	0.0770369526764458	0.409622387700769	0.0709874867112291	0.0386579814631554	-0.077048258024957	0.333433911818017	0	-0.0606268103956495	-0.0530458592826215	0.623542460799083	0.473178050658029	-0.0177512994501494	
4-Methylhippuric acid/3-Methylhippuric acid	CHEBI:68500|CHEBI:68552	C10H11NO3|C10H11NO3	Cc1cccc(c1)C(=O)NCC(O)=O|Cc1ccc(cc1)C(=O)NCC(O)=O	InChI=1S/C10H11NO3/c1-7-3-2-4-8(5-7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)|InChI=1S/C10H11NO3/c1-7-2-4-8(5-3-7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)	4-Methylhippuric acid/3-Methylhippuric acid	192.065356	NA	[(M-H)]-	1	6.62	5	2.83457780468466	0.550291808742677	0.194135369236723	1080010.91923511	88944.3541534946	0.0823550508327145	0.424214563046948	0.02159880208683	-0.0230719999536317	0.0521973088125844	0.612421640768244	0	0.0153355396551839	-0.0304641504929414	0.15772494168622	0.356737295127678	0.00959715115056915	
5-Hydroxyindoleacetic acid	CHEBI:27823	C10H9NO3	OC(=O)Cc1c[nH]c2ccc(O)cc12	InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)	5-Hydroxyindoleacetic acid	190.050594	NA	[(M-H)]-	1	5.68	5	2.38805966466621	0.276448246773753	0.115762705121689	204154.348838327	14310.2946758549	0.0700954682439189	0.605509936643544	0.138584334597717	0.121144081800028	-0.0648399742872243	0.118540886540845	0	-0.0890971015276441	-0.0772061173321731	0.916357393272986	1.20054318728601	-0.0277861870950301	
5-Sulfosalicylic acid	CHEBI:68555	C7H6O6S	OC(=O)c1cc(ccc1O)S(O)(=O)=O	InChI=1S/C7H6O6S/c8-6-2-1-4(14(11,12)13)3-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)	5-Sulfosalicylic acid	216.980834	NA	[(M-H)]-	1	5.28	5	3.03762264549277	0.631560404980069	0.207912726064635	1517724.36704172	95312.609603006	0.0627996833106033	0.302048289680356	0.0345602718125303	-0.0574011236089932	-0.0387046772030613	0.732759392072027	0	-0.00804265835248261	-0.0702440744896043	0.0827181728305663	0.497829995158387	-0.0061491077696368	
6-(2-hydroxyethoxy)-6-oxohexanoic acid	CHEBI:84086	C8H14O5	OCCOC(=O)CCCCC(O)=O	InChI=1S/C8H14O5/c9-5-6-13-8(12)4-2-1-3-7(10)11/h9H,1-6H2,(H,10,11)	6-(2-hydroxyethoxy)-6-oxohexanoic acid	189.07674	NA	[(M-H)]-	1	5.35	4	2.23439132630684	0.240784440855609	0.107762878427206	133687.50541404	18912.8221425933	0.141470379629112	1.31279325212786	0.122546063482105	-0.0115725281910811	-0.00810238774544514	0.852127790467293	0	-0.010477515032899	-0.151539188408904	0.107760501732448	1.06454145756564	-0.00320881814872682	
6-(carboxymethoxy)-hexanoic acid	CHEBI:84088	C8H14O5	OC(=O)CCCCCOCC(O)=O	InChI=1S/C8H14O5/c9-7(10)4-2-1-3-5-13-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	6-(carboxymethoxy)-hexanoic acid	189.07674	NA	[(M-H)]-	1	5.65	4	2.75183043073542	0.430317714609576	0.156375083945334	630280.64624263	55269.9606472292	0.087691032521333	0.560773687910463	0.0953801656454862	0.15515978030849	0.17768520109562	0.00843239326200961	1	0.119004095320312	-0.0545110920331575	1.22394871108906	1.30208896604283	0.043630573682757	
9-Methylxanthine	CSID 64136	C6H6N4O2	Cn1cnc2c1[nH]c(=O)[nH]c2=O	InChI=1/C6H6N4O2/c1-10-2-7-3-4(10)8-6(12)9-5(3)11/h2H,1H3,(H2,8,9,11,12)	9-Methylxanthine	165.0411	NA	[(M-H)]-	1	4.3	4	4.08445348217315	0.380229975588446	0.0930920078409468	12143021.3650416	517317.926233748	0.0426020765905137	0.457634093179104	0.109351904497216	-0.0622838287676598	-0.0114482504804432	0.852127790467293	0	0.0104785146930997	-0.168761835812832	0.107770783166974	1.11880766182791	-0.00325347171053409	
Acetaminophen glucuronide	CHEBI:32636	C14H17NO8	CC(=O)Nc1ccc(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)cc1	InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)/t9-,10-,11+,12-,14+/m0/s1	Acetaminophen glucuronide	326.087035	NA	[(M-H)]-	1	4.12	5	1.42487143851705	1.36437784990813	0.957544528598398	13262282.861068	419223.815959235	0.0316102303314526	0.0330117601713227	0.00832587127517648	0.0193751923165625	-0.653514237428028	0.00726253157469891	1	-0.137934382096446	0.0360319887155241	1.41864537289579	0.266793306642836	-0.0453148733413289	
Acetylphenylalanine	CHEBI:16259	C11H13NO3	CC(=O)N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1	Acetylphenylalanine	206.08069	NA	[(M-H)]-	1	6.6	5	2.79196962846714	0.389558589397806	0.13952823319632	578436.447937296	76939.707669538	0.133013242757964	0.953307009706134	0.0606628925434877	-0.101324533064464	-0.25591362268495	5.93567195770458e-06	1	-0.193521462038099	-0.0679953688305555	1.99035456210197	0.448748421024477	-0.0691835054253128	
alpha-N-Phenylacetyl-glutamine	CHEBI:17884	C13H16N2O4	NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(O)=O	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1	alpha-N-Phenylacetyl-glutamine	NA	NA		NA	NA	5	4.91049952869732	0.21904620540795	0.044607723537662	61524186.4193269	1903288.75188381	0.0309356183747262	0.693503633930287	0.112776771317151	-0.0785899561668215	-0.110076057350156	0.000116069950998238	1	-0.190356316716911	-0.14182939545022	1.95780126613472	0.997187318060859	-0.0620163889937437	
Aminosalicyluric acid	CSID 8528501	C9H10N2O4	C1=CC(=C(C=C1N)C(=O)NCC(=O)O)O	InChI=1/C9H10N2O4/c10-5-1-2-7(12)6(3-5)9(15)11-4-8(13)14/h1-3,12H,4,10H2,(H,11,15)(H,13,14)	Aminosalicyluric acid	209.055518	NA	[(M-H)]-	1	4.5	4	2.95995955631471	0.509313956602758	0.172067876912777	1120518.60543712	49522.8796477412	0.0441963921057984	0.256854404777726	0.0497870829944505	-0.16903219729106	-0.0916848306237559	0.318634103298065	0	-0.0237232274632011	-0.140450967125386	0.24399171808587	1.0300010913829	-0.0186117538019432	
Aspartic acid	CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	Aspartic acid	132.02947	NA	[(M-H)]-	1	0.89	5	3.25685465199215	0.215646937613749	0.0662132519428958	1392907.20236198	41183.6856139001	0.0295667116546344	0.446537676175965	0.105941220504509	0.0407754974815714	-0.0294287595239506	0.418385871448933	0	-0.0824827524562922	-0.0981766495977867	0.848329280469103	0.668539366021601	-0.0152013395290034	
Asp-Leu/Ile isomer 1					Asp-Leu/Ile isomer 1	NA	NA		NA	NA	4	2.7447570997737	0.391236718390345	0.142539650748185	782591.318285406	36217.9952610365	0.0462795771110613	0.32467862007618	0.0596824116893218	0.0722221240611723	0.161960079695974	0.00710088033479736	1	0.129702919143273	-0.0602640982488588	1.33398535808878	0.817662244142745	0.0448252315700169	
Asp-Leu/Ile isomer 2					Asp-Leu/Ile isomer 2	NA	NA		NA	NA	4	2.40224714045221	0.375367910302167	0.156256991206786	312142.156500105	16292.8668793421	0.0521969446934882	0.334045499598878	0.0711627153988973	0.0699074850764579	0.122475508963257	0.0406595391651593	1	0.0888791906796216	-0.069379911096447	0.914116195599481	0.758937179823043	0.0343642078646453	
Azelaic acid	CHEBI:48131	C9H16O4	OC(=O)CCCCCCCC(O)=O	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	Azelaic acid	187.097224	NA	[(M-H)]-	1	7.01	5	3.8633193023002	0.240941263463505	0.0623663861591894	5629390.36609157	177906.304150446	0.0316031208675913	0.50673323907088	0.109107507897333	-0.0766466667250361	-0.0518966741656559	0.227010645583412	0	-0.0636339678360744	-0.164168306996482	0.654470862576712	1.10299158206625	-0.0226435711878668	
Benzoic acid isomer					Benzoic acid isomer	121.02915	NA	[(M-H)]-	1	5.38	4	2.85372765871105	0.492658720987672	0.172636908600519	888819.204732839	25243.5240520236	0.0284011910606851	0.164514015519157	0.0667162988949596	-0.106477172217209	-0.0324448005740883	0.719319348103393	0	-0.016686583319748	-0.133403642098527	0.171620330306396	0.919248201943898	-0.00678697173439967	
Chenodeoxycholic acid isomer					Chenodeoxycholic acid isomer	448.30489	NA	[(M-H)]-	1	8.86	4	1.8972479549482	0.720901350748079	0.379972132197007	138095.312283456	12333.8737445416	0.0893142101682999	0.235054633222398	0.00939838860048065	-0.00525852969749502	0.13247317939722	0.333433911818017	0	0.0480070227979063	-0.0209066539317916	0.49374883711831	0.200376557104666	0.0176070913867418	
Cinnamoylglycine	CHEBI:68616	C11H11NO3	OC(=O)CNC(=O)C=Cc1ccccc1	InChI=1S/C11H11NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-7H,8H2,(H,12,13)(H,14,15)/b7-6+	Cinnamoylglycine	204.065452	NA	[(M-H)]-	1	7.03	5	4.01603992191922	0.513327087077502	0.127819219195458	11742041.4996239	2134365.54261586	0.181771248439569	1.42209637630167	0.048502639428067	-0.0461698701190474	-0.109696015819436	0.234869990993218	0	-0.0772631114553834	-0.0686448152251937	0.794645641614368	0.537715417082155	-0.0217022855987395	
Citric acid	CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid	191.019335	NA	[(M-H)]-	1	NA	5	5.42164190405865	0.193069896766846	0.0356109643874327	206142563.530264	8097035.68487872	0.0392788153315556	1.10299779877394	0.126121875298398	-0.0967794608084287	-0.102600103292682	0.000118707676441187	1	-0.176836557638211	-0.162904519918887	1.81875149936771	1.0819059869683	-0.0617670441544561	
Dehydroepiandrosterone 3-glucuronide	CHEBI:68834	C25H36O8	[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H])O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O	InChI=1S/C25H36O8/c1-24-9-7-13(32-23-20(29)18(27)19(28)21(33-23)22(30)31)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h3,13-16,18-21,23,27-29H,4-11H2,1-2H3,(H,30,31)/t13-,14-,15-,16-,18-,19-,20+,21-,23+,24-,25-/m0/s1	Dehydroepiandrosterone 3-glucuronide	463.2329	NA	[(M-H)]-	1	8.2	5	2.35520716579891	0.461467332737549	0.195934922175313	259610.438401221	20073.2808069849	0.0773207769710791	0.394624787213258	0.121142948957521	0.124980243614907	0.166543729582745	0.0344829416798271	1	0.101907905670957	-0.0973045890835651	1.04811560862699	1.34458307913877	0.0362779565593615	
Dehydroepiandrosterone sulfate	CHEBI:16814	C19H28O5S	C1[C@@]2([C@@]([C@@]3(C(C[C@@H](OS(O)(=O)=O)CC3)=C1)C)(CC[C@]4([C@]2(CCC4=O)[H])C)[H])[H]	InChI=1S/C19H28O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h3,13-16H,4-11H2,1-2H3,(H,21,22,23)/t13-,14-,15-,16-,18-,19-/m0/s1	Dehydroepiandrosterone sulfate	367.156657	NA	[(M-H)]-	1	8.28	5	3.25965877691267	1.13264236727363	0.347472678826338	8453036.74612411	497097.410626003	0.0588069619895989	0.169241973752388	0.0558818295081954	0.0998287402774441	0.524752942764666	0.00741120208861409	1	0.111839801189532	-0.0448944064557945	1.15026445221016	0.621929700763455	0.0437269586733925	
Deoxyhexose	CHEBI:23628				Deoxyhexose	163.060423	NA	[(M-H)]-	1	0.91	5	2.61052507142363	0.417695757810826	0.160004499624682	391142.78682659	31565.3865537357	0.0807004184068719	0.504363431004556	0.0704692975628868	-0.146891501740644	-0.0410819410504435	0.599395367518757	0	-0.00348519693743069	-0.152099633576134	0.0358450042242516	1.0091386876113	-0.0103188778737975	
